Name, Max, Min, Average, Median

receive_block, 571370.0,1645.0,9030.539,2102.0
signal_unblock, 223468.0,2050.0,8580.5638,2742.0
workload, 35786.0,3110.0,4199.6864,3727.0
receive, 11044.0,919.0,1097.2304,1066.0
send, 17394.0,882.0,1131.289,1029.0
