Name, Max, Min, Average, Median

release_unblock, 15082382.0,1852.0,6418148.4058,5774596.0
request_block, 26799106.0,15123736.0,20950118.9554,20928968.0
pip, 47669.0,3486.0,4602.3226,4453.5
workload, 24031.0,1897.0,2525.2982,2509.0
acquisition, 3537.0,35.0,50.0308,51.0
release, 897.0,34.0,47.5838,49.0
