Name, Max, Min, Average, Median

signal_unblock, 27012858.0,11934962.0,18747821.9134,18488877.5
wait_block, 12402669.0,1740.0,5434033.3856,5343209.0
signal, 3428.0,34.0,46.6096,48.0
wait, 247.0,34.0,47.1814,48.0
singaling_with_prio, 11732.0,678.0,852.2918,748.0
