Max,Min,Average,Median
650489,1642,10104.32,2108.0
873304,1629,10027.1508,2107.0
678798,1646,9780.1606,2102.0
1334538,1645,9739.1192,2111.0
571370,1670,7672.5496,2124.0
383217,1640,7543.9812,2102.0
380325,1653,7670.328,2102.0
463781,1635,9030.539,2090.0
309340,1658,7507.8458,2102.0
