Max,Min,Average,Median
50830,3492,4615.8278,4469.0
46279,3481,4608.1324,4459.0
40460,3478,4602.3226,4450.0
47669,3486,4563.6316,4453.5
47872,3486,4556.4004,4448.0
--------
mutex_pip
Max,Min,Average,Median
50830,3492,4615.8278,4469.0
46279,3481,4608.1324,4459.0
40460,3478,4602.3226,4450.0
47669,3486,4563.6316,4453.5
47872,3486,4556.4004,4448.0
