mq
1310,125,125.3594,125.0
132,100,100.0116,100.0
--------
sem_signal
Max,Min,Average,Median
1368,117,125.54245187436676,125.0
1300,117,125.719,125.0
1384,117,125.4276,125.0
1310,125,125.7738,125.0
1338,125,125.4936,125.0
1367,125,125.5884,125.0
1406,117,125.5418,125.0
1310,125,125.3594,125.0
--------
sem_wait
Max,Min,Average,Median
460,100,100.1288,100.0
117,100,100.0062,100.0
117,100,100.005,100.0
458,97,100.1528,100.0
447,100,100.088,100.0
117,100,100.0058,100.0
485,100,100.163,100.0
132,100,100.0116,100.0
--------
sem_prio
Max,Min,Average,Median
709,214,229.73,229.0
608,214,229.69,229.0
611,214,229.7058,229.0
604,214,229.6464,229.0
606,214,229.7184,229.0
606,221,229.8622,229.0
606,214,229.5388,229.0
606,214,229.6282,229.0
606,214,229.6548,229.0
606,214,229.5698,229.0
608,214,229.6938,229.0
--------
sem_singaling_with_prio
Max,Min,Average,Median
709,214,229.73,229.0
608,214,229.69,229.0
611,214,229.7058,229.0
604,214,229.6464,229.0
606,214,229.7184,229.0
606,221,229.8622,229.0
606,214,229.5388,229.0
606,214,229.6282,229.0
606,214,229.6548,229.0
606,214,229.5698,229.0
608,214,229.6938,229.0
--------
round_robin
Max,Min,Average,Median
191,155,168.49513381995135,168.0
482,157,169.26705341068214,168.0
493,157,169.1506301260252,168.0
187,157,168.39167833566714,168.0
480,157,170.04620924184837,168.0
191,157,168.47949589917982,168.0
480,160,168.63292658531705,168.0
--------
cooperating_scheduling_ctx_switch
Max,Min,Average,Median
191,155,168.49513381995135,168.0
482,157,169.26705341068214,168.0
493,157,169.1506301260252,168.0
187,157,168.39167833566714,168.0
480,157,170.04620924184837,168.0
191,157,168.47949589917982,168.0
480,160,168.63292658531705,168.0
--------
