Max,Min,Average,Median
27012858,11934962,18747821.9134,17768061.5
26694285,13356357,20811466.735,20938794.5
27339225,10927383,18400630.5818,18488877.5
26147884,10533775,17648237.3728,16887527.0
32744938,16222690,24554495.9378,24556417.0
